# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Oct  8 06:00:51 2015
#
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
#
rowid,pl_discmethod,pl_orbper,pl_orbsmax
85,Transit,6.21229000,0.063000
86,Transit,95.27380000,0.407000
87,Astrometry,246.36000000,0.360000
88,Imaging,,330.000000
89,Eclipse Timing Variations,10220.00000000,8.190000
90,Imaging,,800.000000
91,Imaging,318280.00000000,115.000000
92,Transit,1.58040482,
93,Radial Velocity,11.44330000,0.071700
94,Radial Velocity,8.63100000,0.061000
95,Radial Velocity,25.60000000,0.130000
96,Radial Velocity,603.00000000,1.000000
97,Radial Velocity,2288.00000000,2.410000
98,Radial Velocity,133.71000000,0.490000
99,Radial Velocity,692.00000000,1.150000
100,Radial Velocity,4100.00000000,4.500000
101,Radial Velocity,30.60000000,0.143400
102,Radial Velocity,123.75000000,0.364000
103,Radial Velocity,14.20700000,0.089000
104,Radial Velocity,3.33664870,0.031000
105,Radial Velocity,2.64561000,0.028700
106,Radial Velocity,7.37090000,0.058000
107,Radial Velocity,2.64388312,0.029100
108,Imaging,,43.500000
109,Radial Velocity,5.36860000,0.040610
110,Radial Velocity,12.91400000,0.072100
111,Radial Velocity,3.14900000,0.028150
112,Radial Velocity,598.30000000,1.135000
113,Radial Velocity,7.20040000,0.050500
114,Radial Velocity,28.14000000,0.125000
115,Radial Velocity,62.24000000,0.213000
116,Radial Velocity,39.02600000,0.156000
117,Radial Velocity,256.20000000,0.549000
118,Radial Velocity,4.69380000,0.039000
119,Radial Velocity,1050.30000000,1.800000
120,Radial Velocity,3.60000000,0.041300
121,Radial Velocity,35.37000000,0.187000
122,Radial Velocity,38.14000000,0.163530
123,Radial Velocity,3657.00000000,3.560000
124,Radial Velocity,35.68000000,0.163000
125,Radial Velocity,1845.00000000,2.320000
126,Radial Velocity,15.76491000,0.113000
127,Radial Velocity,61.11660000,0.208317
128,Radial Velocity,30.08810000,0.129590
129,Radial Velocity,1.93778000,0.020807
130,Radial Velocity,124.26000000,0.334300
131,Imaging,,100.000000
132,Imaging,,320.000000
133,Imaging,,2000.000000
134,Transit,4.46529976,0.055610
135,Transit,4.88781620,0.053000
136,Transit,3.21305980,0.038400
137,Transit,2.91625000,
138,Radial Velocity,446.27000000,
139,Transit,4.62766900,0.060600
140,Transit,10.86350200,0.096400
141,Transit,2.77596000,0.041300
142,Transit,10.33852300,0.088200
143,Radial Velocity,5584.00000000,5.600000
144,Transit,5.50802300,0.055900
145,Transit,4.00877800,0.046600
146,Transit,5.63347290,0.068780
147,Transit,2.87531700,0.036100
148,Transit,4.12448100,0.049400
149,Transit,3.21222000,0.041400
150,Transit,1.21288287,0.023020
151,Transit,3.35524000,0.046500
152,Transit,3.65283600,0.046600
153,Transit,4.23451600,0.047900
154,Transit,3.03957700,0.040000
155,Transit,3.25721500,0.043400
156,Transit,5.72318600,0.066700
157,Transit,2.89973600,0.038660
158,Transit,2.81059500,0.041900
159,Transit,5.00542500,0.055000
160,Transit,2.15000805,0.034300
161,Transit,3.47447400,0.049900
162,Transit,5.45265400,0.067700
163,Transit,3.64670600,0.049800
164,Transit,1.32734700,0.023800
165,Transit,2.79743600,0.037900
166,Transit,4.64038200,0.052300
167,Transit,3.54387000,0.050900
168,Transit,3.05653600,0.044380
169,Transit,4.45724300,0.060800
170,Transit,2.69404700,0.042600
171,Transit,4.64187800,0.057500
172,Transit,3.33268700,0.044300
173,Transit,4.30121900,0.050700
174,Radial Velocity,872.20000000,1.752000
175,Transit,3.12899200,0.045200
176,Transit,4.46312900,0.057700
177,Transit,2.69154800,0.043800
178,Transit,2.78849100,0.040750
179,Transit,3.79984700,0.041170
180,Transit,3.58524670,0.046040
181,Transit,2.79083270,0.042300
182,Transit,3.85298500,0.052350
183,Transit,2.20473700,0.037700
184,Transit,3.07637760,0.048700
185,Transit,3.92289000,0.053000
186,Transit,3.44645900,0.044400
187,Transit,3.31284600,0.044910
188,Transit,3.04404990,0.040570
189,Transit,2.76676410,0.038150
190,Transit,1.35413300,0.023000
191,Transit,3.54785100,0.048500
192,Transit,2.51672900,0.036200
193,Transit,4.76338700,0.054200
194,Transit,3.32527250,0.036230
195,Transit,3.58389300,0.046670
196,Transit,1.91530730,0.030480
197,Imaging,,53.000000
198,Radial Velocity,157.57000000,0.760000
199,Radial Velocity,383.70000000,1.030000
200,Radial Velocity,5.75969000,0.064120
201,Radial Velocity,16.35700000,0.128590
202,Radial Velocity,49.74800000,0.269900
203,Radial Velocity,122.74400000,0.492900
204,Radial Velocity,604.67000000,1.427000
205,Radial Velocity,2205.00000000,3.381000
206,Radial Velocity,70.46000000,0.302000
207,Radial Velocity,20.81330000,0.153200
208,Radial Velocity,4.11377500,
209,Radial Velocity,127.58000000,0.614000
210,Radial Velocity,778.10000000,2.030000
211,Radial Velocity,122.10000000,0.460000
212,Radial Velocity,6.49500000,0.081000
213,Radial Velocity,47.84000000,0.249000
214,Radial Velocity,4.55570000,0.049800
215,Radial Velocity,5.88810000,0.070000
216,Radial Velocity,55.80600000,0.264300
217,Radial Velocity,1043.00000000,2.335000
218,Radial Velocity,199.50500000,0.950000
219,Radial Velocity,1531.00000000,2.611000
220,Radial Velocity,2890.00000000,4.300000
221,Radial Velocity,989.20000000,2.015000
222,Radial Velocity,3630.00000000,4.590000
223,Imaging,,650.000000
224,Radial Velocity,1075.20000000,2.131000
225,Radial Velocity,48.05600000,0.269000
226,Radial Velocity,10.89850000,0.102000
227,Radial Velocity,1129.00000000,2.000000
228,Radial Velocity,443.40000000,1.400000
229,Radial Velocity,395.80000000,1.038000
230,Radial Velocity,1624.00000000,2.659000
231,Radial Velocity,68.27000000,0.330000
232,Radial Velocity,7.85430000,0.079000
233,Radial Velocity,30.93000000,0.196000
234,Radial Velocity,5.24000000,0.063500
235,Radial Velocity,835.47700000,2.140000
236,Radial Velocity,1143.00000000,1.970000
237,Radial Velocity,324.00000000,0.920000
238,Radial Velocity,663.20000000,1.240000
239,Radial Velocity,1818.00000000,2.440000
240,Radial Velocity,937.70000000,1.650000
241,Radial Velocity,3827.00000000,5.160000
242,Radial Velocity,1114.00000000,2.110000
243,Radial Velocity,83.88800000,0.363000
244,Radial Velocity,493.70000000,1.160000
245,Radial Velocity,1627.50000000,2.708000
246,Radial Velocity,223.60000000,0.721000
247,Radial Velocity,670.00000000,1.780000
248,Radial Velocity,2597.00000000,3.790000
249,Radial Velocity,25.82700000,0.176000
250,Radial Velocity,6.13350000,0.070000
251,Radial Velocity,1945.00000000,3.160000
252,Radial Velocity,37.91000000,0.229000
253,Radial Velocity,711.00000000,1.930000
254,Radial Velocity,2082.00000000,4.300000
255,Radial Velocity,63.33000000,0.330000
256,Radial Velocity,9.67370000,0.080900
257,Radial Velocity,559.40000000,1.370000
258,Radial Velocity,4.15470000,0.050000
259,Radial Velocity,3008.00000000,4.200000
260,Radial Velocity,262.70900000,0.831000
261,Radial Velocity,1708.00000000,2.900000
262,Radial Velocity,1244.00000000,2.350000
263,Radial Velocity,453.01900000,1.084000
264,Radial Velocity,921.53800000,1.740000
265,Radial Velocity,1840.00000000,2.900000
266,Radial Velocity,10.70871000,0.092500
267,Radial Velocity,883.00000000,2.090000
268,Radial Velocity,1951.00000000,3.170000
269,Radial Velocity,471.60000000,1.850000
270,Radial Velocity,974.00000000,1.980000
271,Radial Velocity,1544.00000000,2.620000
272,Radial Velocity,258.19000000,0.810000
273,Radial Velocity,5000.00000000,5.800000
274,Radial Velocity,464.30000000,1.320000
275,Radial Velocity,330.00000000,0.890000
276,Radial Velocity,19.38200000,0.154000
277,Radial Velocity,931.00000000,2.030000
278,Radial Velocity,4218.00000000,5.150000
279,Radial Velocity,1125.70000000,2.360000
280,Radial Velocity,1455.00000000,3.400000
281,Radial Velocity,653.22000000,1.520000
282,Radial Velocity,349.70000000,1.020000
283,Radial Velocity,6005.00000000,6.800000
284,Radial Velocity,1928.00000000,3.030000
285,Radial Velocity,1299.00000000,2.770000
286,Radial Velocity,386.30000000,1.050000
287,Radial Velocity,1057.00000000,2.000000
288,Radial Velocity,103.95000000,0.450000
289,Radial Velocity,176.30000000,0.760000
290,Radial Velocity,2730.00000000,4.600000
291,Radial Velocity,5.77270000,0.063438
292,Radial Velocity,44.23600000,0.238800
293,Radial Velocity,1008.00000000,1.922000
294,Radial Velocity,528.40000000,1.320000
295,Radial Velocity,1027.00000000,2.450000
296,Radial Velocity,331.50000000,0.930000
297,Radial Velocity,2.87589110,
298,Radial Velocity,4.07200000,0.053000
299,Radial Velocity,431.80000000,1.310000
300,Radial Velocity,5894.00000000,6.700000
301,Radial Velocity,2097.00000000,3.200000
302,Radial Velocity,689.00000000,1.480000
303,Radial Velocity,499.40000000,1.280000
304,Radial Velocity,3342.00000000,4.190000
305,Radial Velocity,163.90000000,0.600000
306,Radial Velocity,408.60000000,1.291000
307,Radial Velocity,3452.00000000,5.360000
308,Radial Velocity,194.30000000,0.640000
309,Radial Velocity,391.90000000,1.020000
310,Radial Velocity,131.05000000,0.495000
311,Radial Velocity,842.20000000,1.880000
312,Radial Velocity,4.64550000,0.050000
313,Radial Velocity,359.55460000,1.096000
314,Radial Velocity,521.00000000,1.520000
315,Radial Velocity,12.62000000,0.110000
316,Radial Velocity,248.40000000,0.800000
317,Radial Velocity,1178.40000000,2.250000
318,Radial Velocity,352.30000000,1.000000
319,Radial Velocity,577.90000000,1.480000
320,Radial Velocity,2111.00000000,3.520000
321,Radial Velocity,643.25000000,1.497000
322,Radial Velocity,4205.80000000,5.235000
323,Radial Velocity,9.63860000,0.090940
324,Radial Velocity,310.55000000,0.921000
325,Radial Velocity,75.52300000,0.363000
326,Radial Velocity,990.00000000,2.100000
327,Radial Velocity,8.42819800,0.074000
328,Radial Velocity,75.29000000,0.360000
329,Radial Velocity,1314.00000000,2.420000
330,Radial Velocity,17.24000000,0.140000
331,Radial Velocity,282.40000000,0.875000
332,Radial Velocity,40.00000000,0.230000
333,Radial Velocity,606.40000000,1.300000
334,Radial Velocity,1155.00000000,2.110000
335,Radial Velocity,270.00000000,0.940000
336,Radial Velocity,5144.00000000,5.420000
337,Radial Velocity,420.77000000,1.320000
338,Radial Velocity,58.11247000,0.293100
339,Radial Velocity,1749.83000000,2.837300
340,Radial Velocity,6.40400000,0.065900
341,Radial Velocity,533.00000000,1.300000
342,Radial Velocity,225.62000000,0.810000
343,Radial Velocity,2102.00000000,3.600000
344,Radial Velocity,1145.00000000,2.100000
345,Radial Velocity,359.90000000,
346,Radial Velocity,550.00000000,1.320000
347,Radial Velocity,1523.00000000,2.540000
348,Radial Velocity,21.21663000,0.161400
349,Radial Velocity,323.60000000,1.160000
350,Radial Velocity,1290.00000000,2.400000
351,Radial Velocity,297.30000000,1.030000
352,Radial Velocity,406.60000000,1.221800
353,Radial Velocity,110.90000000,0.513700
354,Radial Velocity,71.48400000,0.339000
355,Radial Velocity,14.47600000,0.121600
356,Radial Velocity,3.09251400,0.044300
357,Radial Velocity,396.03000000,1.400000
358,Radial Velocity,479.00000000,1.390000
359,Radial Velocity,663.00000000,1.780000
360,Radial Velocity,9.37430000,0.080000
361,Radial Velocity,962.00000000,1.760000
362,Radial Velocity,2172.00000000,3.000000
363,Radial Velocity,956.00000000,1.780000
364,Radial Velocity,626.50000000,1.510000
365,Radial Velocity,3070.00000000,4.350000
366,Radial Velocity,6.83800000,0.077000
367,Radial Velocity,986.00000000,2.050000
368,Radial Velocity,3.09658280,0.042600
369,Radial Velocity,3810.00000000,4.890000
370,Radial Velocity,772.00000000,1.920000
371,Radial Velocity,461.20000000,1.203000
372,Radial Velocity,2.21857578,0.031420
373,Radial Velocity,2915.00000000,4.010000
374,Radial Velocity,17.11100000,0.130400
375,Radial Velocity,1038.10000000,2.070000
376,Radial Velocity,4885.00000000,5.500000
377,Radial Velocity,24.35560000,0.153200
378,Radial Velocity,74.72000000,0.320000
379,Radial Velocity,525.80000000,1.180000
380,Radial Velocity,345.53000000,1.150000
381,Radial Velocity,18.20132000,0.138800
382,Radial Velocity,1378.00000000,2.540000
383,Radial Velocity,3638.00000000,5.020000
384,Radial Velocity,1333.00000000,2.370000
385,Radial Velocity,1035.70000000,2.070000
386,Radial Velocity,466.20000000,1.305000
387,Radial Velocity,613.80000000,1.601000
388,Radial Velocity,825.00000000,1.950000
389,Radial Velocity,255.87000000,0.830000
390,Radial Velocity,1383.40000000,2.550000
391,Imaging,,487.100000
392,Radial Velocity,1120.00000000,2.230000
393,Radial Velocity,1920.10000000,3.040000
394,Radial Velocity,2831.60000000,3.930000
395,Radial Velocity,1733.00000000,2.560000
396,Radial Velocity,279.80000000,0.896000
397,Radial Velocity,610.00000000,1.680000
398,Radial Velocity,577.90000000,1.359000
399,Radial Velocity,161.97000000,0.570000
400,Radial Velocity,1155.70000000,2.112000
401,Radial Velocity,18.31500000,0.120700
402,Radial Velocity,40.11400000,0.203600
403,Radial Velocity,90.30900000,0.349900
404,Radial Velocity,130.08000000,0.524000
405,Radial Velocity,875.50000000,2.100000
406,Radial Velocity,380.85000000,0.947000
407,Radial Velocity,3.52474859,0.047470
408,Radial Velocity,442.19000000,1.138000
409,Radial Velocity,354.80000000,1.200000
410,Radial Velocity,2.24571500,0.036000
411,Radial Velocity,373.30000000,1.220000
412,Radial Velocity,951.00000000,2.030000
413,Radial Velocity,3.93404000,0.047000
414,Radial Velocity,567.94000000,1.282000
415,Radial Velocity,1311.00000000,2.560000
416,Radial Velocity,1256.00000000,2.320000
417,Radial Velocity,148.60000000,0.609000
418,Radial Velocity,118.45000000,0.460000
419,Radial Velocity,7.12681600,0.074800
420,Radial Velocity,4270.00000000,5.320000
421,Radial Velocity,1319.00000000,2.380000
422,Radial Velocity,225.70000000,0.687300
423,Radial Velocity,5501.00000000,6.220000
424,Radial Velocity,3.09370000,0.038200
425,Radial Velocity,6.76500000,0.064000
426,Radial Velocity,46.78000000,0.234000
427,Radial Velocity,1190.00000000,2.140000
428,Radial Velocity,2093.30000000,3.200000
429,Radial Velocity,3.83350000,
430,Radial Velocity,672.10000000,1.600000
431,Radial Velocity,2209.00000000,3.360000
432,Radial Velocity,3724.70000000,4.940000
433,Radial Velocity,456.10000000,1.250000
434,Radial Velocity,3999.00000000,5.100000
435,Radial Velocity,572.38000000,1.347000
436,Radial Velocity,26.73000000,0.192000
437,Radial Velocity,528.07000000,1.167000
438,Radial Velocity,730.60000000,1.596000
439,Radial Velocity,1214.00000000,2.400000
440,Radial Velocity,141.60000000,0.530000
441,Radial Velocity,192.00000000,0.747000
442,Radial Velocity,1561.00000000,2.772000
443,Radial Velocity,501.75000000,1.160000
444,Radial Velocity,745.70000000,1.900000
445,Radial Velocity,3668.00000000,4.920000
446,Radial Velocity,1845.00000000,3.020000
447,Radial Velocity,3.44420000,0.044000
448,Radial Velocity,428.10000000,1.271000
449,Radial Velocity,2208.00000000,3.250000
450,Radial Velocity,17.99040000,0.125000
451,Radial Velocity,385.90000000,1.032000
452,Radial Velocity,1116.00000000,2.150000
453,Radial Velocity,6.08810000,
454,Radial Velocity,8.78360000,0.066000
455,Radial Velocity,387.10000000,1.250000
456,Radial Velocity,2443.00000000,3.430000
457,Radial Velocity,311.60000000,1.200000
458,Radial Velocity,2770.00000000,3.950000
459,Radial Velocity,1159.20000000,2.315000
460,Radial Velocity,1684.00000000,2.690000
461,Radial Velocity,912.00000000,1.800000
462,Radial Velocity,466.00000000,1.260000
463,Radial Velocity,157.54000000,0.590000
464,Radial Velocity,3.38773000,0.039000
465,Radial Velocity,326.60000000,1.060000
466,Radial Velocity,18.17900000,0.145000
467,Radial Velocity,388.00000000,1.100000
468,Radial Velocity,1049.00000000,2.070000
469,Radial Velocity,62.21800000,0.295000
470,Radial Velocity,154.46000000,0.530000
471,Radial Velocity,843.60000000,1.640000
472,Radial Velocity,2295.00000000,3.190000
473,Radial Velocity,55.01307000,0.283100
474,Radial Velocity,2720.00000000,3.814000
475,Radial Velocity,363.20000000,1.020000
476,Radial Velocity,14.30980000,0.131000
477,Radial Velocity,2140.20000000,3.712000
478,Radial Velocity,696.30000000,1.700000
479,Radial Velocity,2151.00000000,3.380000
480,Radial Velocity,4.31230000,0.046800
481,Radial Velocity,9.61840000,0.079900
482,Radial Velocity,20.43200000,0.132100
483,Radial Velocity,34.62000000,0.188600
484,Radial Velocity,51.76000000,0.247000
485,Radial Velocity,197.80000000,0.600000
486,Radial Velocity,264.15000000,0.846000
487,Radial Velocity,963.00000000,
488,Radial Velocity,1.32830000,
489,Radial Velocity,526.62000000,1.280000
490,Radial Velocity,437.05000000,1.173500
491,Radial Velocity,6700.00000000,6.950000
492,Radial Velocity,828.00000000,1.650000
493,Radial Velocity,15.56000000,0.115000
494,Radial Velocity,356.00000000,1.190000
495,Radial Velocity,327.80000000,0.920000
496,Radial Velocity,36.96000000,0.240000
497,Radial Velocity,472.30000000,1.190000
498,Radial Velocity,963.60000000,1.920000
499,Radial Velocity,226.93000000,0.681300
500,Radial Velocity,342.85000000,0.897200
501,Radial Velocity,43.60000000,0.230000
502,Radial Velocity,3.02357300,0.039800
503,Radial Velocity,4.08450000,0.050000
504,Radial Velocity,1353.60000000,2.395000
505,Radial Velocity,360.20000000,1.190000
506,Radial Velocity,2732.00000000,4.600000
507,Radial Velocity,712.13000000,1.930000
508,Radial Velocity,762.00000000,1.600000
509,Radial Velocity,4.94737000,0.058000
510,Radial Velocity,2482.70000000,3.860000
511,Radial Velocity,1293.00000000,2.353000
512,Radial Velocity,119.60000000,0.500000
513,Radial Velocity,641.00000000,1.669700
514,Radial Velocity,886.00000000,2.071000
515,Radial Velocity,792.60000000,1.900000
516,Radial Velocity,492.30000000,1.200000
517,Radial Velocity,177.11000000,0.760000
518,Radial Velocity,201.30000000,0.759000
519,Radial Velocity,604.00000000,1.580000
520,Radial Velocity,589.64000000,1.640000
521,Radial Velocity,2.81804900,0.036800
522,Radial Velocity,358.00000000,0.940000
523,Radial Velocity,21.99800000,0.140000
524,Radial Velocity,572.40000000,1.300000
525,Radial Velocity,152.60000000,0.540000
526,Radial Velocity,480.50000000,1.200000
527,Radial Velocity,1973.00000000,3.180000
528,Radial Velocity,352.20000000,1.080000
529,Radial Velocity,2374.00000000,3.860000
530,Radial Velocity,2496.00000000,3.560000
531,Radial Velocity,6.27711000,0.070400
532,Radial Velocity,8.66700000,0.078500
533,Radial Velocity,31.56000000,0.186000
534,Radial Velocity,197.00000000,0.630000
535,Radial Velocity,851.80000000,1.760000
536,Radial Velocity,2068.00000000,3.230000
537,Radial Velocity,615.00000000,1.360000
538,Radial Velocity,3383.00000000,4.511000
539,Radial Velocity,2.54858000,0.037000
540,Radial Velocity,1260.00000000,2.198000
541,Radial Velocity,188.90000000,0.650000
542,Radial Velocity,379.10000000,1.030000
543,Radial Velocity,1770.00000000,3.067000
544,Radial Velocity,51.64500000,0.292000
545,Radial Velocity,2473.00000000,3.850000
546,Radial Velocity,1275.00000000,2.300000
547,Radial Velocity,4046.00000000,4.960000
548,Radial Velocity,3.50926700,0.048200
549,Radial Velocity,341.70000000,1.073000
550,Radial Velocity,418.20000000,1.190000
551,Radial Velocity,3.97100000,0.049000
552,Radial Velocity,5.73610000,0.061400
553,Radial Velocity,5.39792000,0.056640
554,Radial Velocity,15.29900000,0.113400
555,Radial Velocity,24.45100000,0.155100
556,Radial Velocity,1966.10000000,3.130000
557,Radial Velocity,111.43570000,0.449000
558,Radial Velocity,1001.70000000,1.940000
559,Radial Velocity,184.02000000,0.810000
560,Radial Velocity,705.00000000,1.650000
561,Radial Velocity,441.47000000,1.183060
562,Radial Velocity,220.07800000,0.743450
563,Radial Velocity,2.98569800,0.040600
564,Radial Velocity,1313.00000000,2.450000
565,Radial Velocity,788.00000000,1.520000
566,Radial Velocity,58.43000000,0.260000
567,Radial Velocity,227.00000000,0.757000
568,Radial Velocity,2.13750000,0.035000
569,Radial Velocity,1695.00000000,2.840000
570,Radial Velocity,1475.00000000,2.860000
571,Radial Velocity,1634.00000000,3.020000
572,Radial Velocity,2754.00000000,3.600000
573,Radial Velocity,3.41587000,0.047200
574,Radial Velocity,2157.00000000,3.270000
575,Radial Velocity,256.78000000,0.918000
576,Radial Velocity,49.77000000,0.250000
577,Radial Velocity,325.00000000,0.960000
578,Radial Velocity,143.58000000,0.477000
579,Radial Velocity,30.05200000,0.189000
580,Radial Velocity,192.90000000,0.654000
581,Imaging,,55.700000
582,Radial Velocity,507.00000000,1.510000
583,Radial Velocity,482.00000000,1.280000
584,Radial Velocity,361.10000000,0.990000
585,Radial Velocity,647.30000000,1.400000
586,Radial Velocity,498.90000000,1.300000
587,Radial Velocity,9.49030000,0.080000
588,Radial Velocity,436.90000000,1.230000
589,Radial Velocity,4951.00000000,5.600000
590,Radial Velocity,439.30000000,1.105000
591,Radial Velocity,17.05400000,0.121860
592,Radial Velocity,4970.00000000,5.400000
593,Radial Velocity,868.00000000,2.140000
594,Radial Velocity,184.20000000,0.810000
595,Radial Velocity,144.30000000,0.720000
596,Transit,9.12050000,0.090600
597,Radial Velocity,57.43500000,0.250000
598,Radial Velocity,6.67385500,0.069200
599,Radial Velocity,147.73000000,0.545000
600,Radial Velocity,952.00000000,1.890000
601,Radial Velocity,345.72000000,0.890000
602,Radial Velocity,9017.76000000,7.700000
603,Radial Velocity,41.39700000,0.163506
604,Radial Velocity,8.13520000,0.070000
605,Radial Velocity,32.03000000,0.178000
606,Radial Velocity,431.70000000,1.010000
607,Radial Velocity,124.60000000,0.565000
608,Radial Velocity,1084.50000000,2.810000
609,Radial Velocity,88.90000000,0.460000
610,Radial Velocity,2131.80000000,3.820000
611,Radial Velocity,17337.50000000,20.250000
612,Radial Velocity,511.09800000,1.275000
613,Imaging,,740.000000
614,Radial Velocity,111.70000000,0.360000
615,Radial Velocity,5.05050000,0.057000
616,Radial Velocity,1058.80000000,2.550000
617,Imaging,,773.000000
618,Radial Velocity,312.00000000,0.910000
619,Imaging,170000.00000000,68.000000
620,Imaging,69000.00000000,38.000000
621,Imaging,37000.00000000,24.000000
622,Imaging,18000.00000000,14.500000
623,Transit,19.30691000,0.137400
624,Transit,39.93767000,0.225700
625,Transit,8.28212000,0.080200
626,Transit,39.91488000,0.211400
627,Transit,8.36802000,0.062700
628,Transit,11.81040000,0.091000
629,Transit,7.62067000,0.066200
630,Transit,19.07536000,0.122000
631,Transit,17.96753000,0.119000
632,Transit,32.94488000,0.149100
633,Transit,7.91943000,0.073500
634,Transit,11.90691000,0.096500
635,Transit,9.32414000,0.073100
636,Transit,15.50120000,0.102600
637,Transit,10.05403000,0.076900
638,Transit,24.64540000,0.139900
639,Transit,44.56310000,0.207600
640,Transit,10.00329000,0.077700
641,Transit,5.73491000,0.050900
642,Transit,10.93406000,0.078300
643,Transit,30.94191000,0.189800
644,Transit,28.67992000,0.181400
645,Transit,10.35176000,0.085600
646,Transit,18.44883000,0.084800
647,Transit,1.21751400,0.024660
648,Transit,4.11379120,0.054960
649,Transit,2.70339040,0.041220
650,Transit,7.84558210,0.080000
651,Radial Velocity,1276.00000000,2.390000
652,Transit,2.73477490,0.044150
653,Transit,3.24406000,0.045710
654,Orbital Brightness Modulation,0.21970000,
655,Orbital Brightness Modulation,0.32528000,
656,Orbital Brightness Modulation,0.81161000,
657,Transit,17.85523330,0.151000
658,Transit,1.76358770,0.037000
659,Transit,10.95416000,
660,Transit Timing Variations,22.33950000,0.155250
661,Transit,3.90512000,0.047700
662,Transit,7.00815100,0.074000
663,Transit,8.71937500,0.089000
664,Transit,59.73667000,0.320000
665,Transit,91.93913000,0.420000
666,Transit,124.91440000,0.480000
667,Transit,210.60697000,0.710000
668,Transit,331.60059000,1.010000
669,Orbital Brightness Modulation,0.24010400,0.006000
670,Orbital Brightness Modulation,0.34288700,0.007600
671,Transit,3.74320800,0.051190
672,Transit,10.42364800,0.101300
673,Transit,22.34298900,0.168400
674,Transit,54.32031000,0.304600
675,Radial Velocity,121.54000000,0.311000
676,Transit,0.83749070,0.016850
677,Transit,45.29430100,
678,Transit,6.88705000,
679,Transit,12.81590000,
680,Transit,35.33310000,
681,Transit,3.48768120,0.047400
